	Year	Series	Value
San Marino	2011	"Percentage of male and female intentional homicide victims, Female"	0
Sao Tome and Principe	2004	"Assault rate per 100,000 population"	0.65
Sao Tome and Principe	2010	"Intentional homicide rates per 100,000"	3.3265
Sao Tome and Principe	2010	"Percentage of male and female intentional homicide victims, Male"	0
Sao Tome and Principe	2010	"Percentage of male and female intentional homicide victims, Female"	0
Sao Tome and Principe	2010	"Assault rate per 100,000 population"	0
Sao Tome and Principe	2010	"Kidnapping at the national level, rate per 100,000"	0
Sao Tome and Principe	2010	"Theft at the national level, rate per 100,000 population"	8.89
Sao Tome and Principe	2010	"Robbery at the national level, rate per 100,000 population"	0.556
Sao Tome and Principe	2010	"Total Sexual Violence at the national level, rate per 100,000"	0
Sao Tome and Principe	2011	"Intentional homicide rates per 100,000"	3.2517
Sao Tome and Principe	2011	"Percentage of male and female intentional homicide victims, Male"	0
Sao Tome and Principe	2011	"Percentage of male and female intentional homicide victims, Female"	0
Sao Tome and Principe	2011	"Assault rate per 100,000 population"	2.16
Sao Tome and Principe	2011	"Kidnapping at the national level, rate per 100,000"	0
Sao Tome and Principe	2011	"Theft at the national level, rate per 100,000 population"	10.81
Sao Tome and Principe	2011	"Robbery at the national level, rate per 100,000 population"	0.541
Sao Tome and Principe	2011	"Total Sexual Violence at the national level, rate per 100,000"	0
Saudi Arabia	2005	"Intentional homicide rates per 100,000"	1.2471
Saudi Arabia	2007	"Intentional homicide rates per 100,000"	1.0522
Saudi Arabia	2015	"Intentional homicide rates per 100,000"	1.4881
Saudi Arabia	2015	"Assault rate per 100,000 population"	1.38
Saudi Arabia	2015	"Total Sexual Violence at the national level, rate per 100,000"	0.129
Saudi Arabia	2017	"Intentional homicide rates per 100,000"	1.2658
Saudi Arabia	2017	"Percentage of male and female intentional homicide victims, Male"	1.9868
Saudi Arabia	2017	"Percentage of male and female intentional homicide victims, Female"	0.2973
Saudi Arabia	2017	"Assault rate per 100,000 population"	5.57
Saudi Arabia	2017	"Kidnapping at the national level, rate per 100,000"	1.782
Saudi Arabia	2017	"Robbery at the national level, rate per 100,000 population"	9.29
Senegal	2005	"Assault rate per 100,000 population"	2.52
Senegal	2010	"Assault rate per 100,000 population"	2.41
Senegal	2010	"Theft at the national level, rate per 100,000 population"	19.74
Senegal	2010	"Robbery at the national level, rate per 100,000 population"	19.743
Senegal	2015	"Intentional homicide rates per 100,000"	0.2675
Senegal	2015	"Kidnapping at the national level, rate per 100,000"	0.014
Senegal	2015	"Theft at the national level, rate per 100,000 population"	17.17
Senegal	2015	"Robbery at the national level, rate per 100,000 population"	17.17
Senegal	2015	"Total Sexual Violence at the national level, rate per 100,000"	1.729
Senegal	2016	"Total Sexual Violence at the national level, rate per 100,000"	0.854
Serbia	2005	"Intentional homicide rates per 100,000"	1.5989
Serbia	2005	"Percentage of male and female intentional homicide victims, Male"	2.2661
Serbia	2005	"Percentage of male and female intentional homicide victims, Female"	0.9589
Serbia	2005	"Assault rate per 100,000 population"	17.55
Serbia	2005	"Kidnapping at the national level, rate per 100,000"	0.283
Serbia	2005	"Theft at the national level, rate per 100,000 population"	182.35
Serbia	2005	"Total Sexual Violence at the national level, rate per 100,000"	5.786
Serbia	2010	"Intentional homicide rates per 100,000"	1.4458
Serbia	2010	"Percentage of male and female intentional homicide victims, Male"	1.9971
Serbia	2010	"Percentage of male and female intentional homicide victims, Female"	0.9161
Serbia	2010	"Assault rate per 100,000 population"	15.47
Serbia	2010	"Kidnapping at the national level, rate per 100,000"	0.222
Serbia	2010	"Theft at the national level, rate per 100,000 population"	176.98
Serbia	2010	"Robbery at the national level, rate per 100,000 population"	40.262
Serbia	2010	"Total Sexual Violence at the national level, rate per 100,000"	5.483
Serbia	2016	"Intentional homicide rates per 100,000"	1.3892
Serbia	2016	"Percentage of male and female intentional homicide victims, Male"	1.8896
Serbia	2016	"Percentage of male and female intentional homicide victims, Female"	0.9082
Serbia	2016	"Assault rate per 100,000 population"	15.12
Serbia	2016	"Kidnapping at the national level, rate per 100,000"	0.09
Serbia	2016	"Theft at the national level, rate per 100,000 population"	253.46
Serbia	2016	"Robbery at the national level, rate per 100,000 population"	27.355
Serbia	2016	"Total Sexual Violence at the national level, rate per 100,000"	3.196
Serbia	2017	"Intentional homicide rates per 100,000"	1.0646
Serbia	2017	"Percentage of male and female intentional homicide victims, Male"	1.5022
Serbia	2017	"Percentage of male and female intentional homicide victims, Female"	0.6441
Serbia	2017	"Assault rate per 100,000 population"	14.54
Serbia	2017	"Kidnapping at the national level, rate per 100,000"	0.136
Serbia	2017	"Robbery at the national level, rate per 100,000 population"	20.713
Serbia	2017	"Total Sexual Violence at the national level, rate per 100,000"	3.545
Seychelles	2004	"Intentional homicide rates per 100,000"	11.4432
Seychelles	2004	"Percentage of male and female intentional homicide victims, Male"	18.7962
Seychelles	2004	"Percentage of male and female intentional homicide victims, Female"	4.1455
Seychelles	2010	"Intentional homicide rates per 100,000"	9.8605
Seychelles	2010	"Percentage of male and female intentional homicide victims, Male"	16.3813
Seychelles	2010	"Percentage of male and female intentional homicide victims, Female"	2.9101
Seychelles	2014	"Intentional homicide rates per 100,000"	16.9826
Seychelles	2014	"Percentage of male and female intentional homicide victims, Male"	27.8839
Seychelles	2014	"Percentage of male and female intentional homicide victims, Female"	5.3909
Seychelles	2016	"Intentional homicide rates per 100,000"	12.5377
Sierra Leone	2005	"Intentional homicide rates per 100,000"	1.7536
Sierra Leone	2008	"Intentional homicide rates per 100,000"	2.9999
Sierra Leone	2008	"Assault rate per 100,000 population"	323.95
Sierra Leone	2008	"Theft at the national level, rate per 100,000 population"	171.26
Sierra Leone	2008	"Total Sexual Violence at the national level, rate per 100,000"	10.157
Sierra Leone	2010	"Intentional homicide rates per 100,000"	2.5407
Sierra Leone	2015	"Intentional homicide rates per 100,000"	1.729
Singapore	2005	"Intentional homicide rates per 100,000"	0.4923
Singapore	2005	"Assault rate per 100,000 population"	14.23
Singapore	2005	"Kidnapping at the national level, rate per 100,000"	0
Singapore	2005	"Theft at the national level, rate per 100,000 population"	496.2
Singapore	2010	"Intentional homicide rates per 100,000"	0.3703
Singapore	2010	"Percentage of male and female intentional homicide victims, Male"	0.5981
Singapore	2010	"Percentage of male and female intentional homicide victims, Female"	0.1221
Singapore	2010	"Assault rate per 100,000 population"	8.36
Singapore	2010	"Kidnapping at the national level, rate per 100,000"	0
Singapore	2010	"Theft at the national level, rate per 100,000 population"	356.15
Singapore	2010	"Robbery at the national level, rate per 100,000 population"	10.095
Singapore	2010	"Total Sexual Violence at the national level, rate per 100,000"	30.774
Singapore	2011	"Intentional homicide rates per 100,000"	0.304
Singapore	2011	"Percentage of male and female intentional homicide victims, Male"	0.3634
Singapore	2011	"Percentage of male and female intentional homicide victims, Female"	0.2389
Singapore	2011	"Assault rate per 100,000 population"	7.71
Singapore	2011	"Kidnapping at the national level, rate per 100,000"	0
Singapore	2011	"Theft at the national level, rate per 100,000 population"	327.72
Singapore	2011	"Robbery at the national level, rate per 100,000 population"	7.485
Singapore	2011	"Total Sexual Violence at the national level, rate per 100,000"	29.369
Singapore	2016	"Intentional homicide rates per 100,000"	0.3184
Singapore	2016	"Percentage of male and female intentional homicide victims, Male"	0.3718
Singapore	2016	"Percentage of male and female intentional homicide victims, Female"	0.2598
Singapore	2016	"Assault rate per 100,000 population"	8.7
Singapore	2016	"Theft at the national level, rate per 100,000 population"	241.69
Singapore	2016	"Robbery at the national level, rate per 100,000 population"	1.698
Singapore	2016	"Total Sexual Violence at the national level, rate per 100,000"	25.31
Singapore	2017	"Intentional homicide rates per 100,000"	0.1927
Singapore	2017	"Percentage of male and female intentional homicide victims, Male"	0.2008
Singapore	2017	"Percentage of male and female intentional homicide victims, Female"	0.1838
Singapore	2017	"Assault rate per 100,000 population"	7.36
Singapore	2017	"Robbery at the national level, rate per 100,000 population"	1.209
Singapore	2017	"Total Sexual Violence at the national level, rate per 100,000"	30.589
Slovakia	2005	"Intentional homicide rates per 100,000"	1.7226
Slovakia	2005	"Percentage of male and female intentional homicide victims, Male"	2.3305
Slovakia	2005	"Percentage of male and female intentional homicide victims, Female"	1.1505
Slovakia	2005	"Assault rate per 100,000 population"	72.16
Slovakia	2005	"Kidnapping at the national level, rate per 100,000"	0.296
Slovakia	2005	"Theft at the national level, rate per 100,000 population"	349.95
Slovakia	2010	"Intentional homicide rates per 100,000"	1.5173
Slovakia	2010	"Percentage of male and female intentional homicide victims, Male"	1.9456
Slovakia	2010	"Percentage of male and female intentional homicide victims, Female"	1.1139
Slovakia	2010	"Assault rate per 100,000 population"	44.89
Slovakia	2010	"Kidnapping at the national level, rate per 100,000"	0.074
Slovakia	2010	"Theft at the national level, rate per 100,000 population"	452.7
Slovakia	2010	"Robbery at the national level, rate per 100,000 population"	21.984
Slovakia	2010	"Total Sexual Violence at the national level, rate per 100,000"	10.4
Slovakia	2016	"Intentional homicide rates per 100,000"	1.0474
Slovakia	2016	"Percentage of male and female intentional homicide victims, Male"	1.3986
Slovakia	2016	"Percentage of male and female intentional homicide victims, Female"	0.7152
Slovakia	2016	"Assault rate per 100,000 population"	30.6
Slovakia	2016	"Kidnapping at the national level, rate per 100,000"	1.874
Slovakia	2016	"Theft at the national level, rate per 100,000 population"	291.62
Slovakia	2016	"Robbery at the national level, rate per 100,000 population"	9.666
Slovakia	2016	"Total Sexual Violence at the national level, rate per 100,000"	12.054
Slovakia	2017	"Intentional homicide rates per 100,000"	1.4685
Slovakia	2017	"Percentage of male and female intentional homicide victims, Male"	2.2266
Slovakia	2017	"Percentage of male and female intentional homicide victims, Female"	0.7505
Slovakia	2017	"Assault rate per 100,000 population"	30.14
Slovakia	2017	"Kidnapping at the national level, rate per 100,000"	1.67
Slovakia	2017	"Robbery at the national level, rate per 100,000 population"	8.609
Slovakia	2017	"Total Sexual Violence at the national level, rate per 100,000"	12.941
Slovenia	2005	"Intentional homicide rates per 100,000"	1.0025
Slovenia	2005	"Percentage of male and female intentional homicide victims, Male"	1.0251
Slovenia	2005	"Percentage of male and female intentional homicide victims, Female"	0.9809
Slovenia	2005	"Assault rate per 100,000 population"	115.49
Slovenia	2005	"Kidnapping at the national level, rate per 100,000"	0.15
Slovenia	2005	"Theft at the national level, rate per 100,000 population"	1478.15
Slovenia	2005	"Total Sexual Violence at the national level, rate per 100,000"	15.589
Slovenia	2010	"Intentional homicide rates per 100,000"	0.7341
Slovenia	2010	"Percentage of male and female intentional homicide victims, Male"	0.6914
Slovenia	2010	"Percentage of male and female intentional homicide victims, Female"	0.7761
Slovenia	2010	"Assault rate per 100,000 population"	106.8
Slovenia	2010	"Kidnapping at the national level, rate per 100,000"	0.196
Slovenia	2010	"Theft at the national level, rate per 100,000 population"	1415.12
Slovenia	2010	"Robbery at the national level, rate per 100,000 population"	22.663
Slovenia	2010	"Total Sexual Violence at the national level, rate per 100,000"	18.355
Slovenia	2016	"Intentional homicide rates per 100,000"	0.4821
Slovenia	2016	"Percentage of male and female intentional homicide victims, Male"	0.7759
Slovenia	2016	"Percentage of male and female intentional homicide victims, Female"	0.1917
Slovenia	2016	"Assault rate per 100,000 population"	71.89
Slovenia	2016	"Kidnapping at the national level, rate per 100,000"	0.145
Slovenia	2016	"Theft at the national level, rate per 100,000 population"	1031.58
Slovenia	2016	"Robbery at the national level, rate per 100,000 population"	10.897
Slovenia	2016	"Total Sexual Violence at the national level, rate per 100,000"	17.165
Slovenia	2017	"Intentional homicide rates per 100,000"	0.915
Slovenia	2017	"Percentage of male and female intentional homicide victims, Male"	0.9684
Slovenia	2017	"Percentage of male and female intentional homicide victims, Female"	0.8623
Slovenia	2017	"Assault rate per 100,000 population"	67.34
Slovenia	2017	"Kidnapping at the national level, rate per 100,000"	0.048
Slovenia	2017	"Robbery at the national level, rate per 100,000 population"	11.464
Slovenia	2017	"Total Sexual Violence at the national level, rate per 100,000"	20.568
Solomon Islands	2005	"Intentional homicide rates per 100,000"	5.5329
Solomon Islands	2005	"Theft at the national level, rate per 100,000 population"	218.94
Solomon Islands	2005	"Total Sexual Violence at the national level, rate per 100,000"	43.404
Solomon Islands	2008	"Intentional homicide rates per 100,000"	3.7746
Solomon Islands	2008	"Theft at the national level, rate per 100,000 population"	174.55
Solomon Islands	2008	"Total Sexual Violence at the national level, rate per 100,000"	24.254
South Africa	2005	"Intentional homicide rates per 100,000"	38.6963
South Africa	2010	"Intentional homicide rates per 100,000"	31.0307
South Africa	2010	"Percentage of male and female intentional homicide victims, Male"	52.0434
South Africa	2010	"Percentage of male and female intentional homicide victims, Female"	10.5671
South Africa	2017	"Intentional homicide rates per 100,000"	35.7044
South Africa	2017	"Percentage of male and female intentional homicide victims, Male"	61.9634
South Africa	2017	"Percentage of male and female intentional homicide victims, Female"	10.1425
South Africa	2017	"Assault rate per 100,000 population"	293.55
South Africa	2017	"Kidnapping at the national level, rate per 100,000"	9.569
South Africa	2017	"Robbery at the national level, rate per 100,000 population"	331.686
South Africa	2017	"Total Sexual Violence at the national level, rate per 100,000"	87.893
South Sudan	2012	"Intentional homicide rates per 100,000"	14.871
Spain	2005	"Intentional homicide rates per 100,000"	1.1768
Spain	2005	"Percentage of male and female intentional homicide victims, Male"	1.7905
Spain	2005	"Percentage of male and female intentional homicide victims, Female"	0.5791
Spain	2005	"Assault rate per 100,000 population"	392.61
Spain	2005	"Kidnapping at the national level, rate per 100,000"	0.473
Spain	2010	"Intentional homicide rates per 100,000"	0.8544
Spain	2010	"Percentage of male and female intentional homicide victims, Male"	1.055
Spain	2010	"Percentage of male and female intentional homicide victims, Female"	0.6585
Spain	2010	"Assault rate per 100,000 population"	53.43
Spain	2010	"Kidnapping at the national level, rate per 100,000"	0.271
Spain	2010	"Theft at the national level, rate per 100,000 population"	308.15
Spain	2010	"Robbery at the national level, rate per 100,000 population"	179.862
Spain	2010	"Total Sexual Violence at the national level, rate per 100,000"	21.218
Spain	2016	"Intentional homicide rates per 100,000"	0.6304
Spain	2016	"Percentage of male and female intentional homicide victims, Male"	0.7908
Spain	2016	"Percentage of male and female intentional homicide victims, Female"	0.4759
Spain	2016	"Assault rate per 100,000 population"	37.16
Spain	2016	"Kidnapping at the national level, rate per 100,000"	0.202
Spain	2016	"Theft at the national level, rate per 100,000 population"	349.7
Spain	2016	"Robbery at the national level, rate per 100,000 population"	151.488
Spain	2016	"Total Sexual Violence at the national level, rate per 100,000"	23.253
Spain	2017	"Intentional homicide rates per 100,000"	0.6581
Spain	2017	"Percentage of male and female intentional homicide victims, Male"	0.8473
Spain	2017	"Percentage of male and female intentional homicide victims, Female"	0.4758
Spain	2017	"Assault rate per 100,000 population"	38.78
Spain	2017	"Kidnapping at the national level, rate per 100,000"	0.148
Spain	2017	"Robbery at the national level, rate per 100,000 population"	143.167
Spain	2017	"Total Sexual Violence at the national level, rate per 100,000"	25.065
Sri Lanka	2004	"Intentional homicide rates per 100,000"	7.1026
Sri Lanka	2004	"Assault rate per 100,000 population"	109.21
Sri Lanka	2004	"Kidnapping at the national level, rate per 100,000"	4.477
Sri Lanka	2004	"Theft at the national level, rate per 100,000 population"	135.69
Sri Lanka	2005	"Intentional homicide rates per 100,000"	6.2369
Sri Lanka	2010	"Intentional homicide rates per 100,000"	3.7657
Sri Lanka	2010	"Percentage of male and female intentional homicide victims, Male"	6.0306
Sri Lanka	2010	"Percentage of male and female intentional homicide victims, Female"	1.6161
Sri Lanka	2010	"Assault rate per 100,000 population"	318.9
Sri Lanka	2010	"Kidnapping at the national level, rate per 100,000"	0.997
Sri Lanka	2010	"Theft at the national level, rate per 100,000 population"	62.59
Sri Lanka	2010	"Robbery at the national level, rate per 100,000 population"	31.784
Sri Lanka	2010	"Total Sexual Violence at the national level, rate per 100,000"	4.353
Sri Lanka	2016	"Intentional homicide rates per 100,000"	2.5213
Sri Lanka	2016	"Percentage of male and female intentional homicide victims, Male"	3.9532
Sri Lanka	2016	"Percentage of male and female intentional homicide victims, Female"	1.1923
Sri Lanka	2016	"Assault rate per 100,000 population"	16.95
Sri Lanka	2016	"Kidnapping at the national level, rate per 100,000"	1.413
Sri Lanka	2016	"Theft at the national level, rate per 100,000 population"	29.32
Sri Lanka	2016	"Robbery at the national level, rate per 100,000 population"	16.436
Sri Lanka	2016	"Total Sexual Violence at the national level, rate per 100,000"	27.591
Sri Lanka	2017	"Intentional homicide rates per 100,000"	2.3003
Sri Lanka	2017	"Percentage of male and female intentional homicide victims, Male"	3.9279
Sri Lanka	2017	"Percentage of male and female intentional homicide victims, Female"	0.7931
Sri Lanka	2017	"Kidnapping at the national level, rate per 100,000"	1.188
State of Palestine	2005	"Intentional homicide rates per 100,000"	2.3198
State of Palestine	2005	"Assault rate per 100,000 population"	183.68
State of Palestine	2005	"Kidnapping at the national level, rate per 100,000"	5.646
State of Palestine	2005	"Theft at the national level, rate per 100,000 population"	122.36
State of Palestine	2010	"Intentional homicide rates per 100,000"	0.789
State of Palestine	2010	"Percentage of male and female intentional homicide victims, Male"	1.0886
State of Palestine	2010	"Percentage of male and female intentional homicide victims, Female"	0.4805
State of Palestine	2010	"Assault rate per 100,000 population"	7.05
State of Palestine	2010	"Kidnapping at the national level, rate per 100,000"	0.518
State of Palestine	2010	"Theft at the national level, rate per 100,000 population"	67.63
State of Palestine	2010	"Robbery at the national level, rate per 100,000 population"	70.094
State of Palestine	2010	"Total Sexual Violence at the national level, rate per 100,000"	4.364
State of Palestine	2012	"Intentional homicide rates per 100,000"	0.613
State of Palestine	2012	"Percentage of male and female intentional homicide victims, Male"	1.0223
State of Palestine	2012	"Percentage of male and female intentional homicide victims, Female"	0.1914
State of Palestine	2012	"Assault rate per 100,000 population"	8.18
State of Palestine	2012	"Kidnapping at the national level, rate per 100,000"	0.283
State of Palestine	2012	"Theft at the national level, rate per 100,000 population"	45.87
State of Palestine	2012	"Robbery at the national level, rate per 100,000 population"	47.053
State of Palestine	2012	"Total Sexual Violence at the national level, rate per 100,000"	2.829
State of Palestine	2013	"Intentional homicide rates per 100,000"	0.5538
State of Palestine	2013	"Robbery at the national level, rate per 100,000 population"	86.156
State of Palestine	2013	"Total Sexual Violence at the national level, rate per 100,000"	3.069
State of Palestine	2017	"Intentional homicide rates per 100,000"	0.7162
State of Palestine	2017	"Percentage of male and female intentional homicide victims, Male"	1.2042
State of Palestine	2017	"Percentage of male and female intentional homicide victims, Female"	0.2138
Sudan	2008	"Intentional homicide rates per 100,000"	5.1481
Suriname	2004	"Intentional homicide rates per 100,000"	9.3178
Suriname	2004	"Theft at the national level, rate per 100,000 population"	2752.43
Suriname	2005	"Intentional homicide rates per 100,000"	13.8149
Suriname	2008	"Intentional homicide rates per 100,000"	8.3153
Suriname	2008	"Percentage of male and female intentional homicide victims, Male"	12.6623
Suriname	2008	"Percentage of male and female intentional homicide victims, Female"	3.8986
Suriname	2016	"Intentional homicide rates per 100,000"	7.2581
Suriname	2016	"Percentage of male and female intentional homicide victims, Male"	8.7982
Suriname	2016	"Percentage of male and female intentional homicide victims, Female"	5.6994
Suriname	2016	"Assault rate per 100,000 population"	70.09
Suriname	2017	"Intentional homicide rates per 100,000"	5.4338
Suriname	2017	"Assault rate per 100,000 population"	63.16
Sweden	2005	"Intentional homicide rates per 100,000"	0.9183
Sweden	2005	"Percentage of male and female intentional homicide victims, Male"	1.1684
Sweden	2005	"Percentage of male and female intentional homicide victims, Female"	0.6722
Sweden	2005	"Assault rate per 100,000 population"	803.68
Sweden	2005	"Theft at the national level, rate per 100,000 population"	4921.17
Sweden	2005	"Total Sexual Violence at the national level, rate per 100,000"	129.561
Sweden	2010	"Intentional homicide rates per 100,000"	0.9691
Sweden	2010	"Percentage of male and female intentional homicide victims, Male"	1.3708
Sweden	2010	"Percentage of male and female intentional homicide victims, Female"	0.5705
Sweden	2010	"Assault rate per 100,000 population"	59.57
Sweden	2010	"Theft at the national level, rate per 100,000 population"	3918.69
Sweden	2010	"Robbery at the national level, rate per 100,000 population"	98.179
Sweden	2010	"Total Sexual Violence at the national level, rate per 100,000"	150.426
Sweden	2016	"Intentional homicide rates per 100,000"	1.0777
Sweden	2016	"Percentage of male and female intentional homicide victims, Male"	1.5654
Sweden	2016	"Percentage of male and female intentional homicide victims, Female"	0.5898
Sweden	2016	"Assault rate per 100,000 population"	50.42
Sweden	2016	"Theft at the national level, rate per 100,000 population"	3816.55
Sweden	2016	"Robbery at the national level, rate per 100,000 population"	87.048
Sweden	2016	"Total Sexual Violence at the national level, rate per 100,000"	179.758
Sweden	2017	"Intentional homicide rates per 100,000"	1.1409
Sweden	2017	"Percentage of male and female intentional homicide victims, Male"	1.7354
Sweden	2017	"Percentage of male and female intentional homicide victims, Female"	0.5455
Sweden	2017	"Assault rate per 100,000 population"	47.3
Sweden	2017	"Robbery at the national level, rate per 100,000 population"	87.32
Sweden	2017	"Total Sexual Violence at the national level, rate per 100,000"	190.55
Switzerland	2005	"Intentional homicide rates per 100,000"	1.0153
Switzerland	2005	"Percentage of male and female intentional homicide victims, Male"	1.0371
Switzerland	2005	"Percentage of male and female intentional homicide victims, Female"	0.9945
Switzerland	2005	"Assault rate per 100,000 population"	109.64
Switzerland	2005	"Kidnapping at the national level, rate per 100,000"	3.317
Switzerland	2005	"Theft at the national level, rate per 100,000 population"	1927.98
Switzerland	2010	"Intentional homicide rates per 100,000"	0.6659
Switzerland	2010	"Percentage of male and female intentional homicide victims, Male"	0.6762
Switzerland	2010	"Percentage of male and female intentional homicide victims, Female"	0.656
Switzerland	2010	"Assault rate per 100,000 population"	6.24
Switzerland	2010	"Kidnapping at the national level, rate per 100,000"	0
Switzerland	2010	"Theft at the national level, rate per 100,000 population"	2065.28
Switzerland	2010	"Robbery at the national level, rate per 100,000 population"	56.422
Switzerland	2010	"Total Sexual Violence at the national level, rate per 100,000"	31.912
Switzerland	2016	"Intentional homicide rates per 100,000"	0.537
Switzerland	2016	"Percentage of male and female intentional homicide victims, Male"	0.4819
Switzerland	2016	"Percentage of male and female intentional homicide victims, Female"	0.591
Switzerland	2016	"Assault rate per 100,000 population"	6.84
Switzerland	2016	"Kidnapping at the national level, rate per 100,000"	0.036
Switzerland	2016	"Theft at the national level, rate per 100,000 population"	1714.45
Switzerland	2016	"Robbery at the national level, rate per 100,000 population"	22.387
Switzerland	2016	"Total Sexual Violence at the national level, rate per 100,000"	32.721
Switzerland	2017	"Intentional homicide rates per 100,000"	0.5322
Switzerland	2017	"Percentage of male and female intentional homicide victims, Male"	0.5967
Switzerland	2017	"Percentage of male and female intentional homicide victims, Female"	0.4688
Switzerland	2017	"Assault rate per 100,000 population"	6.93
Switzerland	2017	"Kidnapping at the national level, rate per 100,000"	0.035
Switzerland	2017	"Robbery at the national level, rate per 100,000 population"	20.648
Switzerland	2017	"Total Sexual Violence at the national level, rate per 100,000"	30.688
Syrian Arab Republic	2004	"Intentional homicide rates per 100,000"	2.3895
Syrian Arab Republic	2004	"Assault rate per 100,000 population"	35.7
Syrian Arab Republic	2004	"Kidnapping at the national level, rate per 100,000"	0.757
Syrian Arab Republic	2004	"Theft at the national level, rate per 100,000 population"	64.75
Syrian Arab Republic	2005	"Intentional homicide rates per 100,000"	2.3419
Syrian Arab Republic	2005	"Assault rate per 100,000 population"	33.53
Syrian Arab Republic	2005	"Kidnapping at the national level, rate per 100,000"	0.229
Syrian Arab Republic	2008	"Intentional homicide rates per 100,000"	2.56
Syrian Arab Republic	2008	"Assault rate per 100,000 population"	2.71
Syrian Arab Republic	2008	"Kidnapping at the national level, rate per 100,000"	0.116
Syrian Arab Republic	2008	"Theft at the national level, rate per 100,000 population"	31.5
Syrian Arab Republic	2008	"Total Sexual Violence at the national level, rate per 100,000"	0.411
Syrian Arab Republic	2010	"Intentional homicide rates per 100,000"	2.1673
Tajikistan	2005	"Intentional homicide rates per 100,000"	2.3125
Tajikistan	2005	"Theft at the national level, rate per 100,000 population"	52.41
Tajikistan	2010	"Intentional homicide rates per 100,000"	2.4045
Tajikistan	2010	"Percentage of male and female intentional homicide victims, Male"	4.1603
Tajikistan	2010	"Percentage of male and female intentional homicide victims, Female"	0.6167
Tajikistan	2010	"Assault rate per 100,000 population"	72.94
Tajikistan	2010	"Kidnapping at the national level, rate per 100,000"	1.94
Tajikistan	2010	"Theft at the national level, rate per 100,000 population"	47.28
Tajikistan	2010	"Robbery at the national level, rate per 100,000 population"	3.255
Tajikistan	2010	"Total Sexual Violence at the national level, rate per 100,000"	2.617
Tajikistan	2011	"Intentional homicide rates per 100,000"	1.6369
Tajikistan	2011	"Percentage of male and female intentional homicide victims, Male"	2.8059
Tajikistan	2011	"Percentage of male and female intentional homicide victims, Female"	0.4459
Tajikistan	2011	"Assault rate per 100,000 population"	48.52
Tajikistan	2011	"Kidnapping at the national level, rate per 100,000"	2.234
Tajikistan	2011	"Theft at the national level, rate per 100,000 population"	47.66
Tajikistan	2011	"Robbery at the national level, rate per 100,000 population"	3.741
Tajikistan	2011	"Total Sexual Violence at the national level, rate per 100,000"	2.611
Thailand	2005	"Intentional homicide rates per 100,000"	7.3468
Thailand	2005	"Percentage of male and female intentional homicide victims, Male"	13.0057
Thailand	2005	"Percentage of male and female intentional homicide victims, Female"	1.8699
Thailand	2005	"Assault rate per 100,000 population"	43.18
Thailand	2005	"Kidnapping at the national level, rate per 100,000"	0.018
Thailand	2005	"Theft at the national level, rate per 100,000 population"	93.07
Thailand	2010	"Intentional homicide rates per 100,000"	5.4379
Thailand	2010	"Percentage of male and female intentional homicide victims, Male"	9.7076
Thailand	2010	"Percentage of male and female intentional homicide victims, Female"	1.3343
Thailand	2010	"Assault rate per 100,000 population"	13.56
Thailand	2010	"Kidnapping at the national level, rate per 100,000"	0.012
Thailand	2010	"Theft at the national level, rate per 100,000 population"	80.85
Thailand	2010	"Robbery at the national level, rate per 100,000 population"	2.747
Thailand	2010	"Total Sexual Violence at the national level, rate per 100,000"	2.851
Thailand	2014	"Intentional homicide rates per 100,000"	3.8706
Thailand	2014	"Percentage of male and female intentional homicide victims, Male"	6.7132
Thailand	2014	"Percentage of male and female intentional homicide victims, Female"	1.1533
Thailand	2014	"Assault rate per 100,000 population"	18.52
Thailand	2014	"Kidnapping at the national level, rate per 100,000"	0.028
Thailand	2014	"Theft at the national level, rate per 100,000 population"	58.3
Thailand	2014	"Robbery at the national level, rate per 100,000 population"	2.091
Thailand	2014	"Total Sexual Violence at the national level, rate per 100,000"	1.781
Thailand	2015	"Intentional homicide rates per 100,000"	3.4738
Thailand	2015	"Assault rate per 100,000 population"	19.9
Thailand	2015	"Kidnapping at the national level, rate per 100,000"	0.442
Thailand	2015	"Theft at the national level, rate per 100,000 population"	57.3
Thailand	2015	"Robbery at the national level, rate per 100,000 population"	2.181
Thailand	2015	"Total Sexual Violence at the national level, rate per 100,000"	5.884
Thailand	2016	"Intentional homicide rates per 100,000"	3.2318
Thailand	2016	"Kidnapping at the national level, rate per 100,000"	2.155
Thailand	2016	"Theft at the national level, rate per 100,000 population"	47.91
Thailand	2016	"Robbery at the national level, rate per 100,000 population"	1.54
Thailand	2016	"Total Sexual Violence at the national level, rate per 100,000"	5.494
Thailand	2017	"Intentional homicide rates per 100,000"	2.582
Timor-Leste	2005	"Intentional homicide rates per 100,000"	4.6225
Timor-Leste	2010	"Intentional homicide rates per 100,000"	3.5665
Timor-Leste	2015	"Intentional homicide rates per 100,000"	4.096
Timor-Leste	2015	"Kidnapping at the national level, rate per 100,000"	0.418
Timor-Leste	2015	"Total Sexual Violence at the national level, rate per 100,000"	4.599
Timor-Leste	2017	"Kidnapping at the national level, rate per 100,000"	0.322
Timor-Leste	2017	"Robbery at the national level, rate per 100,000 population"	1.85
Timor-Leste	2017	"Total Sexual Violence at the national level, rate per 100,000"	10.7
Tonga	2005	"Intentional homicide rates per 100,000"	3.964
